Number of Likes,Tweets
1, touché or tooshie and yes this is the view from the pinnacle of the jedi order
2, 0 to 100 was like giving birth for me man 😅
7,"nietzsche is trending which means lots and lots of people are cutting and pasting ""nietzsche"" because nobody including me can spell it"
1,  that image demonstrates it very nicely too
1, that makes sense what would be a good signal for having street smarts maybe you get that from just talking to a person
1, good luck 🙏
1,i understand the mathematical basis of those algorithms as well as for neural nets
0, hmm but it isn't perfect because it's unclear what advantage the fox could gain by striving to reach them (good exercise)
1," interesting it seems like a special case of rationalization since that can be used to diffuse lots of other things that don't make sense too 

but sour graphes sounds pretty good the fox can't reach the grapes and so devalues them"
1, super well-written; i learned a lot too
1, and in research trying to get your ideas accepted can feel like you're dealing with a bunch of the most disagreeable types ever ha
0, pyspark sounds nice
2,if i walked outside one day to find that the world were suddenly made of chocolate populated by furries and obeyed none of the laws of physics i'd be pretty ok with that :|
1, i am; they're great
1,i need so badly to revive the latin my soul is dying
2,i am soon going to try very hard to get a job that uses my particular abilities; ceteris paribus i prefer remote work does anyone have any advice
4,someone called me ma’am and i don’t like it
2, to be clear there are many ways to define reductionism; i would not define it to be synonymous with physicalism
1, woah i just can't even
4, oh okay yes this looks better than using csvreader thanks
1, sweet
7,and it's important that it not be loaded w/many things because wide disagreement within a social group needs to be possible if that group aspires toward maximum rationality
2, would that be like writing bash scripts in ios i’m trying to understand as someone whose brain runs on linux
4,  omg i want 0 to be natural but… but… googly eyed sock puppet https://tco/vdtpvppf5t
1,maybe i should watch something involving hobbits
0, i only have two settings: nice jeans and crappy jeans
3,if you guys hadn't adopted me i'd have been eaten by wolves already
3,  omg want
2,  hmmmmm should i be changing my tweeting model
7,help i’ve been data framed
2,   when i think about it maybe it's not quite true: like if i were helping one person i liked a lot or maybe a team of such people that could be pretty satisfying
1, somehow i think the movie wouldn't have sold as well with that name
1," trying this out:

god is an emergent property
ghosts are an emergent property
pineapple pizza being good is an emergent property"
0, if i don't go to parties does that qualify me as being good vacuously
1, it’s hard being witchy
0,  oh man i have stuff to do but i gotta read this article
1, i made this with a ruler and compass a while back and almost got a tattoo of it but chickened out 😅 https://tco/lp0nhvb1vl
5,it's gotten to that point in the day where there's about one hour left before my bedtime; i'm always like: but i don't wanna go to bed: i wanna live
1, omg i'm ded
2,i'm on my bullshit again solving the schrödinger equation for the hydrogen atom
6,just suggesting again that high eq and rationality belong together
1, that's a great idea :-)
0,by jeswald w salacuse
3," oh man you might want to read this (or just talk to me a lot because i’m obsessed with it): 

critical systems thinking and the management of complexity https://tco/bwv26m0ypi"
0, i met some really good people at u of c but i gotta say some of the worst sociopathic horrors as well and professors to boot
1, nōn possum oblīta esse 😅
1,"   i suddenly feel an uncontrollable urge to buy a crapton of chopsticks and throw every other utensil away :-|

now i’ll have to either drink my grits or eat them with chopsticks… https://tco/vbeqawaxfa"
3," not to mention that ""ppl don't change"" is in point of fact false"
0, they only care about really really huge things or really really tiny things :-|
3, me and gf living in an eternal library where all books are written in latin :|
4,i forgot to put that i'm gay erm better fix that 😅
2,  yeah me too easily :)
0, are you saying that epistemic rationality ie striving to view the world accurately implies something like utilitarianism
1, small probability events given many chances to occur will occur; think of yourself as one member of a huge number of people in fact if enough people do this someone will get like 10 masterpieces in a row at some point
1," planning to continue being perverse and knowing mostly about category theory

tho if someone wants to pay me to read the entirety of both princeton companions i will"
3, i know your pain from both sides teacher and student because i was that student and am that teacher ha
2,  why yes yes it is
2, another sign that i am among my people
1,  that makes me happy because it's what i already try to do with the systems thinking approaches 😁
1, i often need anaesthetic a priori (posteriori too)
17,would u still luv me if i talked to myself in an ancient language
1,*hear (dang)
1," i could youtube myself on the streets of nyc not dying 😎

(dying would prolly cause me to lose credibility)

and body language"
1, i luv this captures my attitude as well
2,considering just using reticulate to do all the python stuff from within r i'm so addicted to r
2,"    the failure of ""what are you passionate about"" is a great example: it fails a reasonable rule (only answer things that target me specifically) but it works great with some people you'd have to get in someone's head to understand"
1," 2/ creative: i tend to make images of concepts and situations to help me understand them; they tend to be multi media or digital :)

self-love: latin math exercise making controlled failures viewing failure as learning kind self-talk"
2, a self similar fractal of mushrooms
1, epistemic humility and getting feedback seem so important that if we were listing things in order of importance maybe they would need to go first 🙏
1, me too fr fr
6,maybe ea could have a better reputation if we could emphasize the diversity within ea more a big problem is that out-groups tend to be seen as being homogeneous so ppl hear things that sound extreme to them and then associate those with all of ea
3, i did this and it went well :)
4, it's using mathematical modeling to aid human judgment usually simple 2-3 term linear models with equal weights outperform human judges *if* the right variables get chosen to begin with i learned about it from my fav rationality book: https://tco/ojsdsy69kv
0,the approach that considers all of these and matches different combinations to the situation at hand is called critical systems thinking; that's my general mindset
6,i enjoy crunching numbers absurdly much; i never knew that about myself huh
3, https://tco/vhlruxz6zi
1, and my teaching load is lighter in the spring than in the fall
1,"  interesting i don't like harming other creatures even small ones and if my existence relied on billions of other creatures who experience pain and pleasure dying i'd be very tempted to say ""destroy me""

the multiple being monster is more compelling to me than the single one"
2, what's the worst of them
0, each approach has it's own proponents and books that they write; i've been reading those too eg peter checkland for soft systems methodology
9,i responded to your tweet this morning in lemon juice; u have to hold ur phone over fire to be able to see it
2,  yeah mine too farg
0, aw quam dulcis est canis tuus
1," i agree i recommend this book a lot (it's still hard because not everyone will agree to play by these kinds of rules but it makes clear what kinds of rules to shoot for)
https://tco/h7259zorab"
1, thanks btw
0, i thought it was gonna be about underlying genetic factors that cause people to both be strong and want to exercise; i was kinda like why not but why only 😅
13,i’m wish people irl looked like their twitter avatars: stick figure purple ghosty cute fox plush centipede all show up to the board meeting
4,  undead might be ok tho
1,  same here oy
5,alright everyone i know what we’re up against but it’s wednesday so let’s go out there and show ‘em who’s boss
1,"my intro latin book: rōma in italiā est
my intro category theory book: false &lt; true"
1,  so if i get good at sql i'll be able to batman harder &gt;:)
2, i prefer the batman skylight myself but smoke signal i can totally get down with too
5," if there's a multiverse then we'd have plenty of time to figure out how to save the other universes too :-)

i mean the universes that have other things besides quintillions of pumpkin spice lattes :-|"
2,  u would thing that knowing latin that name would speak volumes to be but all i get is folia = leaves and zāmia = damage/loss
3, i think it means i’m ur reply guy 😅
1, no fr bruh
4, i used to be the high priestess of my own religion which was called the church of the spherical harmonic; at its height it had 2 members
10,"so the facts:

(1) i like tweeting
(2) i have a hard time writing blog articles

possible solution: write thread copy to blog (&amp; prolly also linkedin); alternate writing in english and latin (obviously latin would not go to linkedin haha)"
2,7/ that's going to require a case command and is complicated enough to write an sql script in a separate file so we can fire up vim (or emacs) and type this in (saved afterward as salesquerysql): https://tco/wzzuoye5kd
1, woah ok
4,one time i said “i’ll solve these equations or go mad” and a mathematician sitting across from me starting rubbing her hands together and saying to the person sitting next to her “d’ya hear that she says she’ll go mad”
6,"today was rough and i feel like a shmuck

just gonna go sit over here until the shmuckitude wears off"
1,  and it’s not an argument to not use existing capabilities so we could keep doing analytics etc
0,i am a neural net that has been trained entirely on math books and cartoons
3, wear roller skates next time i have a thing for that
1, most based gang ever
3, lots of dunkin donuts coincidence i think not
1,theoretically i’m really good at talking about war in latin esp if it involves elephants coming over the alps
1, that latter group those are my peoples 🙏
2,"a bad outcome does not necessarily indicate a bad decision

a good outcome does not necessarily indicate a good decision

in either case it's a good idea to ask how the decision process might have been better"
2,  this is cool
1,sed elephantīs super montēs ad italiam mox advenient ēheu
1,  i feel like there’s a spielberg movie in there somewhere
5,er: effective rationalism
0, i’ll tell the answer later
1,  i felt like the low bar for my conduct can be bart simpson :-|
10,got dressed proof: https://tco/gw0qoprqri
2,it seems like i'm drawn to anything with such potential like a moth to a light my lifelong obsession is how can we improve our meat brains
1, it definitely is more about making decisions that me just generally being there i might keep using my current name because i agree it does sounds kinda cool :)
1, ah this calls for an investigation (whips out sherlock holmes hat)
0, human decisions
2, yesterday i sat w/my laptop and had the best time working thru this book w/coffee at my side 😌 https://tco/umkc0hhvoi
2,  when i do that the twitter brain worms somehow take over ha
0," i prefer that to ""cavē canem"""
1,"        i like to write my own crappy crap tho 😅 

i don’t want someone turning my bad crap into good crap"
0, i will punish u https://tco/zzc6fntxbh
1,does anyone have a vest made of mithril i could borrow
1, okay that last point doesn't reflect how sex really is - just how for whatever reason i wish it were ie more intimate than a mind-meld: we would be forced to understand one another to know what it feels like to be one another for at least one moment
1, 👌
0,an hr ago is was tampax :|
0,  totally i would love to work on algorithms that facilitate better thinking together improving the hive mind :)
6,me to guy who asks me what is my political party: um all i know is i want to sail on the boat w/the nice mathy peeps who want to help and who like that i’m there too ❤️
1, i’m also planning to work with people on an individual basis with situations they regard as messes basically i jump into chaos and bring some order 😅
2, u need an ultra ball (or an iced americano)
1, i am huel :-|
3,  https://tco/8x0jprbizo
2, people speak so confidently on this issue maybe we make models of what’s going on and each captures something important maybe it’s good to hold on to all of them
2," ""tech bro"" sounds so funny to me like i imagine some guys in front of a terminal and one's like ""bruh vim's syntax highlighting is all effed up who tf's been messing with my vimrc also beer"""
1, good to know maybe i can use her in physics classes :)
0,  😂
1, for u we need the box modal operator for necessity
0,8/ the reason for having these two measures is that we might not want a word to appear high on the list just because it gets used a lot everywhere; we can adjust how much each measure contributes to the ordering of words within topic areas
1, i love learning complex stuff: that's my element :)
8,if i tweet a banger and there is no one around to see it it's still a banger yaas
4,if a math model tells you to take break and watch  a batman movie that's ok
0, that's just false advertising
1,  yes there’s creepy bad and creepy good
1, i felt like i could be better at that too; i found a lot of what vanessa van edwards  says to be helpful
2,  i agree with what you're saying; as a practical matter whenever i've tried relaxing requirements it's led to really bad outcomes for me so i have the sense that my set of requirements is already the minimum viable set trying to just be happy now in the meantime
3,i’ve written 1000s of lines of fortran 90 but i wouldn’t wanna even be tested on that
3,and make sure the 2nd derivative is negative at whatever point
3,   feel like i’ve been there and it didn’t go well but my memory’s really foggy on that point almost as if someone altered my brain…
2,  huelarious
3, you could instead aim for a number of irrational followers
0, sounds normal from the other particle physics guys i know
3, i say ouch and put a hello kitty bandaid i now look like a hello kitty mummy
6,i know a guy who knows a guy
2,https://tco/dezscobt9k
2,  i haven't read fiction in so long the last thing might have been the earthsea cycle by ursula le guin (which i loved)
2, me too: latin brought to u by the ancient romans
3, i'm pretty sure you'd enjoy your cookies more and yes you can have all my cookies 🍪🍪🍪
2,ok i must stop now
2, i like iced black coffee because it tastes bitter and also green tea because it tastes like grass :)
1, okay the last two are not longevity so much as youthful appearance 😅
2," me: would u like to upgrade to high speed internet

guy: no

me: yeah my own models mostly say it isn’t worth it either can i analyze some data for u perhaps help u w/some tough life choices"
1, the power of the internets
2, i dunno but i put out an ad on fiverr for the position
2,what would be more effective for increasing good in the world: using decision advising to help individuals with problems in their personal lives or to help managers with problems in do-good organizations
5,i can solve any problem with a fourier transform :|
0, also i worked through this whole book this past summer and really enjoyed it: https://tco/ffisniypcx
2, just going to vote for multi-story putt-putt preferably pirate-themed :-|
1, things often get worse before they get better sure hope that won't be the case here
0, :(
0, maybe just pre-coffee brain here but what’s the connection
1, that's where i always put the blame anyways
1, you may have just saved me from certain death
1, now i do 😅
2, at first i thought you meant this; my students would prolly agree that it can kill you https://tco/vbz752bgbh
2,   even for strangers now i think of it i would often comment on something i liked that they were wearing etc
14," it's so interesting i wanted very much to find other people who ""thought in the same language"" as me; the university of chicago was a good place to find them but it's been much harder where i am now the twitter algorithm otoh seems to have drawn me to ea like a magnet"
2,of course i'd love to just integrate aligned ai directly into my brain but that seems a tad infeasible at present ha
1,  my interim gf is a neural net trained on cheese trays; she’s swell 😌
1, that was awesome 😌
6,"interpreting netflix shows in terms of ea: ""this guy represents all the suffering shrimp"" etc"
3,  i knew this for i too am a stick figure
2,you know i would totally be willing to write up some kind of r program to use ml on dating docs converted into cvs format with some columns for useful basic info  if enough people would be interested
3, it's hard i'd much rather be a cute alien octopus girl :-|
6,why am i grading these tests i could just decide who gets as via smash brothers tournament
2,"  it was my house so i was the landlord haha

but yeah i got the hell outta there eventually"
1, ha ha totally
3, i don’t disagree w/you
1,"  “yet there is also evidence that people worry the swing toward interpersonal distrust is an overreaction: about three-in-four americans (79%) think their fellow citizens have too little confidence in each other”

https://tco/u5siffgaoc"
1, word
1, i love how you fit ml into the joints of larger systems-based strategies; i’m doing my best to run with that :)
1,or to which different outcomes of possible choices are interrelated
1,ok y'all i have a mastodon handle: 
1, i can only imagine… but even just trying to imagine it is like wow
1, okay i feel like i have to say it now: fēminae fēminās amantēs :) (fēminās being loved ❤️)
0, ☕️+📖
0, my personal files aren’t going to be that big; i’m just trying to learn a flexible approach because i don’t know what kind of data clients/employers are going to have
2,like i took this long questionnaire just now over at careerexplorer (https://tco/mqn5kayljr) and the top careers came up as data scientist and psychologist
2, a vegetarian eats veggies; a utilitarian eats utils (and bullets)
5,instead of drinking just gonna go snort some cicero (dē rē pūblicā) now until i pass out
1,  ur prolly doing better than me: i only believe what i read in landau &amp; lifshitz
4,when you make a joke u really like in a room full of people and no one even smiles
1, the struggle is real
3, when i'm writing in that markdown editor or whatever i feel all alone but when i'm writing in this little box i feel like i'm sitting in the twitter bar with you guys; it's nice
0, yaas
3,publisher keeps telling me that for every word of latin i lose 20543 readers
1, i think rtweet can do that but it might be a project
1, this is my luv language (ok also latin)
16, https://tco/2uayv7pzd9
8,i want either a remote job that would allow me to live in europe or an in-person job that's in europe
5,it also led me to applied category theory and non-mathematical systems thinking which i’ve been learning the last couple of years and trying to integrate into one thing a mathematical system of systems thought
1," crēdere is even latin for ""to believe"" :)"
1,  cool every time i walk through hell's kitchen i think of daredevil
14,"i wish we had a ""how are you"" and a ""how are you*""

""how are you"" = ""i acknowledge you you're here i'm here too""

""how are you*"" = ""if you feel okay with it i'd like to hear about how things are with you lately really""

and prolly other versions with more asterisks"
1, this reminds me of a study where they looked at smoking incidence in doctors and found that literally the further a doctor's specialty was from the lungs the more likely it was that they would smoke
2,things are starting to get to me; i’ve been forming addictive habits like pandas matplotlib and scikit-learn
4,when i need irl interaction but all i’ve got is twitter https://tco/1bt3ekhboj
4,at least i enjoy spending my time on ml and systems thinking there's that
2,combining with voice work by reading aloud recording and playing back periodically (still killing southern accent + trying to sound crisp clean)
1, look at very least choc + caffeine or i’m wrecked
1, i don't currently have a visa for anywhere so that could indeed be tricky i def want something that would use my skills: decision making ability to read synthesize and explain in a non-technical way highly technical subject matter great people skills &amp; ml
13, https://tco/dblnoj1uhu
1,oh gods i have emptied my inbox; i would just like to thank all of the people who made this possible
7, my ethics is working for me but i’m not sure if it is true
2,oh lord if you type an exclamation point in ipython then anything afterward gets interpreted as a bash command eg pwd will print the working directory :d
5,i've made a reward function that rewards doing lots of small tasks 😅
1, if you eat it all there won't be any to tempt me thank you for your sacrifice
0, it feels crazy almost just like normal
1,  ¡así es
1, that's a tough one i try to be deliberate and remind myself when i notice my internal voice becoming mean
1,  that site is cool
1,  well if you're like spiderman he would be like captain marvel i guess
2, fr fr
1,  hey my minions get full benefits: i'm not a monster
0,3/ i only have to walk out the door let's see (whipping out calculator) 10^23 times here is a really good book that explains the idea in detail: https://tco/zp0loypu8o
1, i have i totally learned my pronunciation from that guy 😁
0,"2/ applied rationality consists of several generally applicable mental models and habits of mind that are good to have ""running in the background"" pretty much no matter what i'm up to things like bayesian thinking confidence calibration awareness of biases etc"
1, i think having the sad face just before it suggests depression maybe experiment with re-ordering
0, i’m assuming this was really an episode of breaking bad :-|
1, and she has a crush on principle component analysis
1," i just do this:

rah rah-ah-ah-ah
roma roma-ma
gaga ooh-la-la
want your bad romance

and now that’s stuck in my head instead 😌"
0, i can be kayguana
1,"  i want to second this: let’s try not to act like essentialists 

https://tco/9dunmqhzcb"
1, i used twitter to do it on sunday and woah nelly what that led to
2,  i use “latest”; i also keep some lists in case i wanna see specifically what a subgroup is saying
1,    what is the first thing that an all-powerful qualy does
11,i wish i had a data set of everyone’s agi timelines: i wanna know its statistical properties
1,  all of this makes a ton of sense thanks
1,  yes; i need to focus a lot these days
1, also those giving fines take no account of a person’s ability to pay: $300 to someone making 100k a year isn’t very much so people are randomly getting punished more and less depending on what their salary happens to be
5,omg i've grievously papercut myself help
0," at first my brain understood ""golden ratio"""
1, which is always how i dance and i do dance so it's not vacuously true :-|
3, good for cleaning out the sink
2,  and i want an ea tank top
1,  def gonna look into this option thanks goals
2, when i moved from my old home to a new town after all sorts of terrible things had happened in the old one i was a prisoner there…
0, so ready
1,  https://tco/kmzvi0vsnu
1,alone at the hbar &lt;big psi&gt;
2, i should try this
1, stealing from one person is plagiarism but stealing from 100 yeah still plagiarism i forgot what my point was :-|
6,will someone plz analyze the twitter situation from a game theoretic perspective i would do it but i'm busy
2, it sounds like motivated reasoning can be partially compensated for by seeking and taking feedback well
1,  и пак искам да кажа че обичам българския език 😁
0,  bwahahaha
6,please wait: large bayesian updates loading…
0, whereas for the case i have in mind you wouldn't even want to stop trying even though attainment is not possible
4, banana
1, https://tco/ksieankrm3
1, yes the idea i'm entertaining is that numpy + pandas &gt; sql
2,  i agree it was -- *freezes and furiously starts opening boxes of paperclips*
3,scrubbed the toilet :|
14,when i die i want a huelogy
1,i like the idea of problem-structuring methods (psms): we can’t usually solve messy problems outright but we can restructure them in a way that increases the likelihood of success or at least of progress
1, srsly yeah multi-model thinking and conceptual engineering have been super empowering for me and it’s been quite the uphill battle in many situations explaining how it isn’t just “overthinking”
2, i had this one i worked on forever where i was sappho wandering through the ages but i deleted it out of despair
0, (i'm at fred rogers levels of agreeableness btw)
1,"i want to use my skills to make a positive difference in the world; it doesn’t matter to me if it’s on my own or working for someone else 

when what you do is just who you are everything else tends to fall into place"
2,  temporibus antiquissimīs vērum fuit :-|
4,   the real reason for the rage of achilles
1, woah i suddenly feel edgy and cool breakin' the law breakin' the law
3,  that’s what i was gonna say 😅
3," but it also seems like sarcasm is becoming another word for ""wit""

one of my friends even said that my humor is sarcastic once and i was taken aback because i pretty much try not to do that"
1, oh okay i was confused and misread the opposite 😅
0, omg this thread is too entertaining must stop reading now 😅
2, etiam de hāc rē nōn prō certō mē habeō 😅
0,5/ u can also get distance by looking at the decision through the lens of a second language
6, i never took it because i just stayed at the same uni until they gave me an ugly hat and kicked me out
3,"me: hey twitter want the low down on a cool new ml approach

twitter: hell yeah but first can we throw axes at a moving target made of marshmallow"
2,some of u may be wondering how a person can be both an ice queen and batman at the same time: don't ask me i don't make the rules
11,at some point every day i'm like omg who are u ppl it's like my timeline connects to another planet where i have a platonic crush on everyone
4, archeologist with whip fights nazis to find ancient relic that will melt your face off i mean that's effing cool; need i say more
5,so the word for heart in latin is cor and we call the little twitter hearts corcula 🥹
1, yes oxytocin plz
11,    yes; after about 10 years your soul implodes
0," derivative 👍
integral 🔥🔥🔥🚒"
0, i like to get an idea what’s there first and start building those new neural connections: the things that recur a lot thru the text i’ll remember; as for the rest i’ll remember what it does and where it is i’m also doing mini projects for each chapter as i go
2," (calculating by first converting to numbers of shrimp)

huh i see"
4,"\usepackage{make-cool}

\begin{tweet}
   \begin{cool}
      if only tweets could be made cool 
      this way
   \end{cool} 
\end{tweet}"
6," whenever i would see how someone ""loves sarcasm"" on a dating profile i would feel kinda worried 😅"
1, they’re all the same girl traveling backward and forward thru spacetime
3,"music ➡️ dancing

reliably whether i want or not 😅"
1,so don’t send me to a business conference because god knows how i’d show up
13,me on thanksgiving day: i am grateful for this huel
2,  my thought is: omg strawberry huel is a thing want
1, oy sorry to hear it keep an iced drink nearby
2,i’ll be thinking real hard running my fingers thru my hair and end up like this w/out realizing it https://tco/senh7qloji
3, i would like to report that the problem still exists
2,  if u recite this in latin creatures from the underworld will come to your aid (or to eat u but w/only a small probability)
0,  just like my irl gf’s so accurate
6,i don't understand anything
1, alas due to my persnickety insides a bagel is -6 utils but a good cuppa joe is about 1 util :)
2,"5/ if we only wanted to see eg the game genre and ""north america"" columns we would have typed ""select game genre ""north america"" from gamesales"" etc now suppose we want to see which games sold best in north america"
1, the 2022 one :)
0, u may be right: i have a cushy tenured professor job that i want to leave; u can prolly imagine what many people say about that ha
0, a wizard of earthsea
0, dms are open :)
3,it’s so interesting revisiting the ml methods in my analytics book while reading about ai alignment: i seem to really get a sense from the former about what’s going on w/the latter
1,i mean all that stuff happens anyway just slower :-|
1, thanks
1, so i woke up this morning and was like “bruh coffee”
2,data munging ok that sounds weird
0, i agree but maybe there is room for greater and lesser degrees of that while still being rational
1,  especially mine
2, i reciprocate ur imperial bruhness
0," mine is just me but with the background swapped out for blindingly white light :)

my culture is a weird mashup of ea rats and ancient romans; i still forget my backstory tl;dr"
2," only if it maximizes your marginal expected utility which it prolly would if u like nerdy girlz 8)

but u had me at lambda calculus tbh"
2,  ~▫️
4,  that's where i live just doing everything with vim in one term and running r from the command line in another
1, i'm obsessed with this one idea 😅
1,9/ those are the main two ways that i handle this issue; if you know other ways that work well for you do comment below because i'd love to hear them
2,  https://tco/vodrqja40i
0, 🙏
0, i’m trying to become a decision scientist kinda like cassie kozyrkov over at google
2,  (blurting out) me too me too
1, i tried the powder first and that was how i got the choco + pb drink this evening later i tried the read-to-drink combo packs which are great too they have artifical sweetener of some sort if you crave a little sweetness otoh you can always add stuff to the powder
3,  daly are u running qualy’s account again
2,like do i have to learn tableau
1, i live on the outskirts of nyc only going in to fight crime at night; it’s a pretty good city challenging bad guys good bibimbop
1, i kept doing it i just kinda eyeball it and whack bits off from time to time
0,"ouch ouch

ouch"
2,also using models can help with not adjusting enough
1," i'd have been the worst house wife in history 

""honey where's dinner; why isn't the house clean"" 

""huel's in the cabinet studying quantum physics"""
3,okay did it; now i need to write *another* really good sentence more pacing
2,can there be more colorful charts plz
4,"i’m basically dr pepper with no sweeteners

23 mysterious flavors + bubbles"
1, one thing i do to help with remaining open to being wrong is to imagine that i wake up in a world where i am definitely wrong about whatever it is then i think about how i'd feel about it and how i'd get along in that world
7, how critical systems thinking can be used to improve thinking: critical systems thinking and the management of complexity https://tco/bhniap0z6j
1, i’m told that it’s much better than the tax audit hyperbolic time chamber
1, i'll have to ponder that - and thanks for saying my blog looks polished
0," same for ""everything happens for a reason"" which i hear people say a lot i realize that one can steel-man this to something like ""there's a way to approach even set backs as opportunities for growth"" but yeah still"
3,"  the nothing could manifest itself physically and start destroying the earth; you and i will just be like ""oh that again hello familiar thing"""
7,and this whole pointer to a pointer thing: look we know ur smart stop making my head hurt
2,(attempt at being agentic not sure if i'm doing it right)
0,"  it seemed to make me more practical minded more willing/able to let go of things and more pleasure seeking 

low confidence here though because maybe all that stuff was going to happen anyway"
1, oh cool okay i've heard of lambda calculus so i've just got to remind myself about it etc i'll revisit your question after that
0, atleast there's nothing saying i have to do it all in one day 😅 (tho i am trying to)
1, a common occurrence we reject an idea because it has problems instead of considering whether the idea even with its problems might be an improvement or considering how said problems might be fixed; we fall back on squishy gut-feeling (my bad pre-coffee attitude here)
1, oh yes fr fr
1,  word
5, don't put a fork in the toaster while it's plugged in
2, come to the r side
1, we just need more interesting card games like boss monster :-|
1, this makes me sad :(
1, “everything you know is wrong” resonates
1," i've had it for a lot longer i had written around 2000 tweets but then one day i kinda freaked out and deleted all of them before starting over i was having troll problems among other things

also i might be more interesting in latin :-|"
5,   oh okay as long as there's utility involved
2, i once heard a retired person say “i did everything that was expected of me” and it made me realize just how much that was not the path i wanted to follow for myself
2,  fr i just kant even
1, ah the journey from “just fucking kill me” to “okay i figured it out” may no bridge you cross ever depend for its construction on the axiom of choice 🙏 (that’s how we wish people well where i’m from)
1, yeah things like these def scratch an itch for me
1, that makes sense i often wish doctors in general worked with decision science peeps
4,oh baby plz speak latin to me
3,  i keep thinking that if misaligned ai ever kills me i want it to tell me first because then i can at least take comfort that i’m dying in a totally unprecedented weird way pretty much getting killed by homemade aliens
1, i do too
1, wait did you mean dopamine i forget what drug my brain is making for what these days
1,  yeah that gdb is a real (de)bugger
1,   sōlum prōpōnō ut pīpiātūs carthāginiēnsēs mūtī sint = i propose that we only mute carthaginian tweets
1,some extra details: the facilitator would be adding his/her thoughts to yours and recording the results of each step digitally using words and graphs
1, we could still forcefully assimilate people into our giant borg party town
1, i love that meme with you and the giant cookie
3,   i too would like to sail on this boat
5,which is unfortunate because knowledge transfer across disciplines is part of the key to solving the world’s big problems
8,my skill set is such a weird mishmash: r graphviz vim linux command line jujitsu latin systems thinking model-based thinking cognitive biases/de-biasing mad people skillz
2, that might explain all those blackouts
2, lying in the dark and thinking helps me a lot i just have to be mindful of where my mind is going or it can fall into a dark rut
3,staved off ibs attack by meditating i dunno it was bad now it isn't :)
1, https://tco/xes7plxgn9
1, i feel less annoying
6,"  i don't know if it's good to associate ""i don't know"" with ""i'm a coward"" :("
12, if a woman said “this sounds plausibly right to me” i might cry
3,i love that i have neighbors living around me maybe it's weird but they remind me that i'm not stranded in outer space and i seem to need that
1, salvē hugh; mihi quoque volup est 😁
1, omg it's so satisfying to do that
1, poaster hadn't heard of that one hmmmmm
1,"  or maybe the ""what the hell did i just eat"" of thinking"
0, usually the shittiest code i can write finishes executing before i can get a cup of coffee which is bad :(
2, okay this makes sense to me
1,  yes i do it using tweetdeck :)
2,i prolly should be involved at facebook too but i’m just such a twitter person 😅
1, oh just gimme my damn fries and don't call me ma'am
1, i thought it was just a database or something like the sql server of euboea
0, it wouldn't have to use all of these but decision making and technical ability would need to somehow be involved
1,9/ by looking at systems as if they were organisms and asking whether modules 1-5 are present how they are instantiated in each particular instance and whether they are wired together correctly we can very often find ways of increasing their viability
1,  oh awesome thanks
0,  postdoc; grad was at ga tech but that place really didn't fit me culturally and i did all my phd work in abstentia at u of c as well
0,i’m not thinking of creating agi here just switching brain substrates and i’d be super surprised if someone isn’t already running with this idea i’ve just never personally bumped into someone who expressed it
0, that made me snort 😅
0, is there a book that derives rule utilitarianism from axioms if it uses formal logic that'd be even better
1, wow that's great to know i'll try :)
3, i used to dress just like that fr
5, tech me's: don't go to office; drink huel saves a ton of time
3, magister lūdī :-d
1, in the before times i used to chat lots of peeps up this way i found small interactions w/strangers to be often meaningful nonetheless
2,  how did you know
0, also i chose latin partly because it's very different from english and other modern languages so maybe likely to shift my thinking more from what it otherwise would have been
1, i have a lot to think about
1,a tree showing all decision paths with leaves ranked by desirableness in different possible futures
3, i slip out from time to time to create bangers
7,note to self on possible mad scientist schemes: drop the cockroach-controlled robots; go for lobsters instead
2, not quite because there's no idea of degrees of certainty in a implies b a implies b means that p(b|a) = 1 but we could have a whole range of strengths with which a predicts b and also bayes' theorem compares how well a predicts b with how well ~a does as well
1, aka “doing the wrong thing really right” 😂
9,  i’m never leaving :-|
1," not sure i wanna know which pooh ""blog post in latin"" would go with 😅"
1,  for me it isn't so much frequency of posts in chats so much as being a nerdy huel-drinking math burger :-|
3,"   when i get responses like that i always wanna say ""bruh"" but i feel like i'm not allowed :|"
1, thanks a friend and i designed the logo :)
2,"  so many people say “use your gut it’s never wrong” 😅

yeah prefrontal cortex who needs you"
1,  i was thinking along the same lines
2,  i see thanks for explaining ☺️
2,  and then there’s the litigious eel don’t even get me started about that
2, that sounds like a reasonable response
1, hey that’s a really good imitation
0," decision advising 😁

in latin 😐"
2,  that made me laugh thank you fr
2, one day you’ll open the drawer of some hotel room dresser and bam james clear will have been in there waiting
1, instead i’m like “why can’t i put eheu”
1, no philosophy of life
2,"  i'm assuming the advice isn't just for men i would have a hard time ""becoming the man that women want"" 😅😅😅"
1, i’ve been having the same thoughts about my own tweets lately…
1,waves of hunger breaking up on the cliff of not wanting to task switch
4,i can't sleep but while not being able to sleep i realized a couple of things: first i should just code stuff up in r *and* python because that gives me the greatest flexibility to do whatever i want; second i ought to learn sql so i can deal with larger amounts of data
2, what hey u can always do that w/out even asking also i order u to buy an espresso drink on the way back; here's a fiver
4,if agi murders me at least i won't have to grade tests anymore
2," all this makes sense i was imagining making the paper clip maximizer into a utility monster 😅

i guess if it were then we'd just have to help it"
1, how come not europe though i did decide to drop that as a requirement
